Text,label
"For the purposes of this Act, a person (the discriminator) discriminates against another person (the aggrieved person) on the ground of a disability of the aggrieved person if, because of the disability, the discriminator treats, or proposes to treat, the aggrieved person less favourably than the discriminator would treat a person without the disability in circumstances that are not materially different.",1
"For the purposes of this Act, a person (the discriminator) also discriminates against another person (the aggrieved person) on the ground of a disability of the aggrieved person if:
(a)  the discriminator does not make, or proposes not to make, reasonable adjustments for the person; and  (b)  the failure to make the reasonable adjustments has, or would have, the effect that the aggrieved person is, because of the disability, treated less favourably than a person without the disability would be treated in circumstances that are not materially different.",1
"For the purposes of this Act, a person (the discriminator) discriminates against another person (the aggrieved person) on the ground of a disability of the aggrieved person if:

                     (a)  the discriminator requires, or proposes to require, the aggrieved person to comply with a requirement or condition; and

                     (b)  because of the disability, the aggrieved person does not or would not comply, or is not able or would not be able to comply, with the requirement or condition; and

                     (c)  the requirement or condition has, or is likely to have, the effect of disadvantaging persons with the disability.

",1
"For the purposes of this Act, a person (the discriminator) also discriminates against another person (the aggrieved person) on the ground of a disability of the aggrieved person if:

                     (a)  the discriminator requires, or proposes to require, the aggrieved person to comply with a requirement or condition; and

                     (b)  because of the disability, the aggrieved person would comply, or would be able to comply, with the requirement or condition only if the discriminator made reasonable adjustments for the person, but the discriminator does not do so or proposes not to do so; and

                     (c)  the failure to make reasonable adjustments has, or is likely to have, the effect of disadvantaging persons with the disability.",1
This section does not apply to section 53 or 54 (combat duties and peacekeeping services) or subsection 54A(2) or (3) (assistance animals).,0
"An employer must not request or require an employee to work more than the following number of hours in a week unless the additional hours are reasonable:

                     (a)  for a full‑time employee—38 hours; or

                     (b)  for an employee who is not a full‑time employee—the lesser of:

                              (i)  38 hours; and

                             (ii)  the employee’s ordinary hours of work in a week.

Employee may refuse to work unreasonable additional hours",1
"A modern award or enterprise agreement may include terms providing for the averaging of hours of work over a specified period. The average weekly hours over the period must not exceed:

                     (a)  for a full‑time employee—38 hours; or

                     (b)  for an employee who is not a full‑time employee—the lesser of:

                              (i)  38 hours; and

                             (ii)  the employee’s ordinary hours of work in a week.

",1
"For each year of service with an employer (other than periods of employment as a casual employee of the employer), an employee is entitled to:

                     (a)  4 weeks of paid annual leave; or

                     (b)  5 weeks of paid annual leave, if:

                              (i)  a modern award applies to the employee and defines or describes the employee as a shiftworker for the purposes of the National Employment Standards; or

                             (ii)  an enterprise agreement applies to the employee and defines or describes the employee as a shiftworker for the purposes of the National Employment Standards; or

                            (iii)  the employee qualifies for the shiftworker annual leave entitlement under subsection (3) (this relates to award/agreement free employees).

Note:          Section 196 affects whether the FWC may approve an enterprise agreement covering an employee, if the employee is covered by a modern award that is in operation and defines or describes the employee as a shiftworker for the purposes of the National Employment Standards.

Accrual of leave",1
" The Commission may, by writing under its seal, delegate to:

                     (a)  a member of the Commission; or

                     (b)  the Commissioner; or

                     (c)  a member of the staff of the Commission; or

                     (d)  another person or body of persons;

all or any of the powers conferred on the Commission under this Act, other than powers in connection with the performance of the functions that, under section 67, are to be performed by the Commissioner on behalf of the Commission.",0
"A person who causes, instructs, induces, aids or permits another person to do an act that is unlawful under Division 1, 2, 2A, 3 or 6 of Part 2 is, for the purposes of this Act, taken also to have done the act.",0
"The Federal Court has jurisdiction with respect to matters arising under subsection (1) and that jurisdiction is exclusive of the jurisdiction of all other courts, other than jurisdiction of the High Court under section 75 of the Constitution.",0
A person must not make an unlawful termination application in relation to conduct if the person is entitled to make a general protections court application in relation to the conduct.,0
A person who has been dismissed must not make an application or complaint of a kind referred to in any one of sections 726 to 732 in relation to the dismissal if any other of those sections applies.,0
"This section applies if:

                     (a)  an unlawful termination court application has been made by, or on behalf of, the person in relation to the dismissal; and

                     (b)  the application has not:

                              (i)  been withdrawn by the person who made the application; or

                             (ii)  failed for want of jurisdiction.",0
"A reporting entity is only required to apply the requirements specified in subparagraphs 4.4.3(5) and 4.4.5(5), and in Part 4.12 and Part 4.13 of these Rules to a person who becomes a customer after the commencement of those provisions on 1 June 2014.",0
These Anti‑Money Laundering and Counter‑Terrorism Financing Rules (Rules) are made pursuant to section 229 of the Anti‑Money Laundering and Counter‑Terrorism Financing Act 2006 (AML/CTF Act) for the definition of ‘approved third‑party bill payment system’ in section 5 of that Act.,0
"For the definition of ‘approved third‑party bill payment system’ in section 5 of the AML/CTF Act, the following bill payment systems are prescribed:

(1)     BPAY;

(2)     DEFT; and

(3)     The Australian Payments Clearing Association Limited’s direct entry system.",0
These Anti-Money Laundering and Counter-Terrorism Financing Rules are made under section 229 of the Anti-Money Laundering and Counter-Terrorism Financing Act 2006 (AML/CTF Act) for the purpose of paragraph (e) of the definition of ‘non-financier’ in section 5 of the AML/CTF Act.,0
" For paragraph (e) of the definition of ‘non-financier’ in section 5 of the AML/CTF Act, the following persons are specified:

(1)     a person carrying on an accounting practice; or

(2)     a person carrying on a law practice.",0
"If a person moves a monetary instrument into or out of Australia, a report under section 53 of the Act (reports about movements of monetary instruments into or out of Australia) must:

                     (a)  contain the information specified in subsection (2) (to the extent the information is known); and

                     (b)  be given in accordance with the applicable timing rule specified in subsection (3).

Note:          The report must also be given in the approved form (see paragraph 53(7)(a) of the Act).",0
A reporting period is specified to be each successive period of 12 months beginning on 1 January and ending on 31 December.,0
