Process,document_title,Text,label
GPT_5,GDPR  ,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",1
GPT_5,GDPR  ,"If the data subject's consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language. Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding.",1
GPT_5,GDPR  ,"The data subject shall have the right to withdraw his or her consent at any time. The withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal. Prior to giving consent, the data subject shall be informed thereof. It shall be as easy to withdraw as to give consent.",1
GPT_5,GDPR  ,"When assessing whether consent is freely given, utmost account shall be taken of whether, inter alia, the performance of a contract, including the provision of a service, is conditional on consent to the processing of personal data that is not necessary for the performance of that contract.",1
GPT_5,GDPR  ,"The controller or the processor and, where applicable, the controller’s or the processor’s representative, shall make the record available to the supervisory authority on request.",0
GPT_5,GDPR  ,"The obligations referred to in paragraphs 1 and 2 shall not apply to an enterprise or an organisation employing fewer than 250 persons unless the processing it carries out is likely to result in a risk to the rights and freedoms of data subjects, the processing is not occasional, or the processing includes special categories of data as referred to in Article 9(1) or personal data relating to criminal convictions and offences referred to in Article 10.",0
GPT_5,GDPR  ,"The controller and the processor and, where applicable, their representatives, shall cooperate, on request, with the supervisory authority in the performance of its tasks.",0
GPT_5,GDPR  ,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate the pseudonymisation and encryption of personal data.",0
GPT_5,GDPR  ,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate the ability to ensure the ongoing confidentiality, integrity, availability and resilience of processing systems and services.",0
GPT_5,GDPR  ,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate the ability to restore the availability and access to personal data in a timely manner in the event of a physical or technical incident.",0
GPT_5,GDPR  ,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate a process for regularly testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the processing.",0
GPT_5,GDPR  ,"In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to personal data transmitted, stored or otherwise processed.",0
GPT_5,GDPR  ,Adherence to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate compliance with the requirements set out in paragraph 1 of this Article.,0
GPT_5,GDPR  ,"The controller and processor shall take steps to ensure that any natural person acting under the authority of the controller or the processor who has access to personal data does not process them except on instructions from the controller, unless he or she is required to do so by Union or Member State law.",0
GPT_5,GDPR  ,"When the personal data breach is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall communicate the personal data breach to the data subject without undue delay.",0
GPT_5,GDPR  ,"The communication to the data subject referred to in paragraph 1 of this Article shall describe in clear and plain language the nature of the personal data breach and contain at least the information and measures referred to in points (b), (c) and (d) of Article 33(3).",0
GPT_5,GDPR  ,"The communication to the data subject referred to in paragraph 1 shall not be required if any of the following conditions are met the controller has implemented appropriate technical and organisational protection measures, and those measures were applied to the personal data affected by the personal data breach, in particular those that render the personal data unintelligible to any person who is not authorised to access it, such as encryption.",0
GPT_5,GDPR  ,The communication to the data subject referred to in paragraph 1 shall not be required if any of the following conditions are met the controller has taken subsequent measures which ensure that the high risk to the rights and freedoms of data subjects referred to in paragraph 1 is no longer likely to materialise.,0
GPT_5,GDPR  ,"The communication to the data subject referred to in paragraph 1 shall not be required if any of the following conditions are met it would involve disproportionate effort. In such a case, there shall instead be a public communication or similar measure whereby the data subjects are informed in an equally effective manner.",0
GPT_5,GDPR  ,"If the controller has not already communicated the personal data breach to the data subject, the supervisory authority, having considered the likelihood of the personal data breach resulting in a high risk, may require it to do so or may decide that any of the conditions referred to in paragraph 3 are met.",0
GPT_5,GDPR  ,"Where a type of processing in particular using new technologies, and taking into account the nature, scope, context and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall, prior to the processing, carry out an assessment of the impact of the envisaged processing operations on the protection of personal data.",0
GPT_5,GDPR  ,A single assessment may address a set of similar processing operations that present similar high risks.,0
GPT_5,Coffe House Five Employee Handbook,"COMMUNICATION: Open, respectful communication with coworkers and managers.",0
GPT_5,Coffe House Five Employee Handbook,"ATTITUDE: A positive, helpful attitude can lead to better performance, pay raises, promotions and  healthy employee/team/coffeehouse moral.",0
GPT_5,Coffe House Five Employee Handbook,"You are welcome to prepare drinks for yourself while on duty. In fact, we encourage you to sample as many items on our menu as possible (though not all at one time!) so that you can better suggest items to customers and practice your drink preparation skills. ",0
GPT_5,Coffe House Five Employee Handbook,"Just a couple of things to know about employee drinks and food. You are welcome to as much brewed coffee as you would like during your shift. You are also welcome to make yourself one specialty drink or smoothie and one food item during your shift, at no charge. ",0
GPT_5,Coffe House Five Employee Handbook,"Second please do not provide free food and beverages to family and friends during your shift. Believe us, you will be asked to do this. Finally, you may only eat food in the kitchen, or the back room if it is not opened to customers. Do not consume food behind the counter. ",0
GPT_5,Online Safety Act 2021,"(1)  This section applies if a person has contravened, or is contravening, section 75. ",0
