step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,8.51078,0.0,9.38257,0.0
2,9.80702,0.0,,
3,9.18134,0.0,,
4,7.06468,0.33333,,
5,9.10831,0.0,,
6,9.05448,0.0,,
7,9.49657,0.0,,
8,8.44255,0.0,,
9,9.59498,0.0,,
10,8.9667,0.0,,
11,7.45989,0.33333,,
12,9.21477,0.0,,
13,8.33751,0.33333,,
14,8.38887,0.0,,
15,8.25634,0.0,,
16,8.28875,0.0,,
17,8.47786,0.0,,
18,8.34587,0.0,,
19,8.53499,0.0,,
20,9.30612,0.0,,
21,8.76986,0.0,,
22,8.0414,0.0,,
23,7.20952,0.33333,,
24,7.85968,0.0,,
25,8.90354,0.0,,
26,7.59486,0.0,,
27,8.10774,0.0,,
28,8.18014,0.0,,
29,7.99555,0.0,,
30,7.98845,0.0,,
31,7.79284,0.0,,
32,8.03075,0.0,,
33,7.73496,0.0,,
34,7.3814,0.0,,
35,7.98585,0.0,,
36,7.54049,0.0,,
37,7.60402,0.0,,
38,7.46153,0.0,,
39,7.25393,0.0,,
40,6.64841,0.0,,
41,6.85277,0.0,,
42,7.05113,0.0,,
43,6.82924,0.0,,
44,6.54381,0.0,,
45,6.34502,0.0,,
46,6.41776,0.0,,
47,6.17388,0.0,,
48,5.8772,0.0,,
49,6.63074,0.0,,
50,5.86053,0.33333,,
51,5.19092,0.33333,,
52,5.23391,0.0,,
53,5.43706,0.33333,,
54,5.67582,0.0,,
55,4.21172,0.0,,
56,4.82586,0.0,,
57,4.99207,0.33333,,
58,4.60138,0.33333,,
59,4.63469,0.33333,,
60,3.70542,0.66667,,
61,3.47673,0.33333,,
62,3.7077,0.33333,,
63,3.47528,0.33333,,
64,2.96509,0.33333,,
65,2.57548,0.66667,,
66,2.78064,0.33333,,
67,3.03388,0.33333,,
68,2.37046,0.33333,,
69,1.45044,0.66667,,
70,1.69264,0.66667,,
71,1.04666,1.0,,
72,1.29759,1.0,,
73,0.50179,1.0,,
74,0.5333,1.0,,
75,0.71782,1.0,,
76,0.23608,1.0,,
77,0.18345,1.0,,
78,0.12232,1.0,,
79,0.06459,1.0,,
80,0.13754,1.0,,
81,0.01955,1.0,,
82,0.02112,1.0,,
83,0.02032,1.0,,
84,0.00924,1.0,,
85,0.01077,1.0,,
86,0.00637,1.0,,
87,0.00449,1.0,,
88,0.00258,1.0,,
89,0.0009,1.0,,
90,0.00108,1.0,,
91,3.23541,0.66667,,
92,0.00066,1.0,,
93,3.46202,0.66667,,
94,0.00018,1.0,,
95,0.00028,1.0,,
96,0.00011,1.0,,
97,8e-05,1.0,,
98,3e-05,1.0,,
99,1e-05,1.0,,
100,0.0,1.0,,
101,5.60359,0.66667,0.0,1.0
102,1e-05,1.0,,
103,0.0,1.0,,
104,0.0,1.0,,
105,0.0,1.0,,
106,0.0,1.0,,
107,0.0,1.0,,
108,0.0,1.0,,
109,0.0,1.0,,
110,6.33017,0.66667,,
111,0.0,1.0,,
112,0.0,1.0,,
113,0.0,1.0,,
114,0.0,1.0,,
115,0.0,1.0,,
116,0.0,1.0,,
117,0.0,1.0,,
118,0.0,1.0,,
119,0.0,1.0,,
120,0.0,1.0,,
121,0.0,1.0,,
122,0.0,1.0,,
123,0.0,1.0,,
124,7.20656,0.66667,,
125,0.0,1.0,,
126,7.7145,0.66667,,
127,0.0,1.0,,
128,0.0,1.0,,
129,0.0,1.0,,
130,0.0,1.0,,
131,0.0,1.0,,
132,0.0,1.0,,
133,0.0,1.0,,
134,0.0,1.0,,
135,0.0,1.0,,
136,0.0,1.0,,
137,0.0,1.0,,
138,0.0,1.0,,
139,0.0,1.0,,
140,0.0,1.0,,
141,0.0,1.0,,
142,6.88413,0.66667,,
143,0.0,1.0,,
144,5.51597,0.66667,,
145,0.0,1.0,,
146,0.0,1.0,,
147,0.0,1.0,,
148,0.0,1.0,,
149,0.0,1.0,,
150,0.0,1.0,,
151,0.0,1.0,,
152,0.0,1.0,,
153,0.0,1.0,,
154,0.0,1.0,,
155,0.0,1.0,,
156,0.0,1.0,,
157,0.0,1.0,,
158,0.0,1.0,,
159,0.0,1.0,,
160,0.0,1.0,,
161,0.0,1.0,,
162,0.0,1.0,,
163,0.0,1.0,,
164,0.0,1.0,,
165,0.0,1.0,,
166,0.0,1.0,,
167,9.91948,0.66667,,
168,0.0,1.0,,
169,0.0,1.0,,
170,0.0,1.0,,
171,0.0,1.0,,
172,0.0,1.0,,
173,0.0,1.0,,
174,0.0,1.0,,
175,0.0,1.0,,
176,0.0,1.0,,
177,0.0,1.0,,
178,0.0,1.0,,
179,0.00013,1.0,,
180,0.0,1.0,,
181,0.0,1.0,,
182,0.0,1.0,,
183,0.0,1.0,,
184,0.0,1.0,,
185,0.0,1.0,,
186,0.0,1.0,,
187,0.0,1.0,,
188,0.0,1.0,,
189,0.0,1.0,,
190,7.05514,0.66667,,
191,0.0,1.0,,
192,0.0,1.0,,
193,0.0,1.0,,
194,0.0,1.0,,
195,0.0,1.0,,
196,0.0,1.0,,
197,0.0,1.0,,
198,0.0,1.0,,
199,0.0,1.0,,
200,0.0,1.0,,
201,0.0,1.0,-0.0,1.0
202,0.0,1.0,,
203,0.0,1.0,,
204,0.0,1.0,,
205,0.0,1.0,,
206,0.0,1.0,,
207,0.0,1.0,,
208,0.0,1.0,,
209,0.0,1.0,,
210,0.0,1.0,,
211,0.0,1.0,,
212,0.0,1.0,,
213,0.0,1.0,,
214,0.0,1.0,,
215,0.0,1.0,,
216,0.0,1.0,,
217,0.0,1.0,,
218,0.0,1.0,,
219,0.0,1.0,,
220,0.0,1.0,,
221,0.0,1.0,,
222,0.0,1.0,,
223,0.0,1.0,,
224,0.0,1.0,,
225,0.0,1.0,,
226,0.0,1.0,,
227,0.0,1.0,,
228,0.0,1.0,,
229,0.0,1.0,,
230,0.0,1.0,,
231,0.0,1.0,,
232,0.0,1.0,,
233,0.0,1.0,,
234,0.0,1.0,,
235,0.0,1.0,,
236,0.0,1.0,,
237,0.0,1.0,,
238,0.0,1.0,,
239,0.0,1.0,,
240,6.80758,0.66667,,
241,0.0,1.0,,
242,6.87659,0.66667,,
243,0.0,1.0,,
244,0.0,1.0,,
245,0.0,1.0,,
246,0.0,1.0,,
247,0.0,1.0,,
248,0.0,1.0,,
249,0.0,1.0,,
250,0.0,1.0,,
251,5.66204,0.66667,,
