Process,document_title,Text,label
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Rules Instrument 2007 (No. 1),"A reporting entity must take the action set out in paragraph 6.1.3 if:

(1)               the reporting entity suspects on reasonable grounds that the customer is not the person that customer claims to be; or

(2)               the reporting entity has doubts about the veracity or adequacy of documents or information previously obtained for the purpose of identifying or verifying:

(a)        the customer; and

(b)       the beneficial owner of the customer (if any); and

(c)        a person purporting to act on behalf of the customer (if any).",1
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Act 2006,"The identity card must

                     (a)  be in a form Australian Privacy Principleroved in writing by the AUSTRAC CEO; and

                     (b)  contain a recent photograph of the authorised officer.",0
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Act 2006,The AUSTRAC CEO must issue an identity card to an authorised officer.,0
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Act 2006,"  An authorised officer is not entitled to exercise any powers under this Part in relation to premises if:

                     (a)  the occupier of the premises requires the authorised officer to produce his or her identity card for inspection by the occupier; and

                     (b)  the authorised officer fails to comply with the requirement.",0
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Act 2006,"The pecuniary penalty payable by a body corporate must not exceed 100,000 penalty units.",0
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Act 2006,Proceedings for a civil penalty order may be started no later than 6 years after the contravention.,0
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Act 2006,The Federal Court must not make a civil penalty order against a person for a contravention if the person has been convicted of an offence constituted by conduct that is substantially the same as the conduct constituting the contravention.,0
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Act 2006,"The AUSTRAC CEO is to monitor, and report to the Minister on, compliance by reporting entities with their obligations under this Act, the regulations and the Anti-Money Laundering and Counter-Terrorism Financing Rules.",0
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Rules Instrument 2007 (No. 1)," The reporting entity must, as soon as practicable, take reasonable measures to:

(1)               obtain and verify additional KYC information; or

(2)               update and verify existing KYC information;

so that the reporting entity is reasonably satisfied that the customer, beneficial owner or person purporting to act on behalf of the customer is the person that the customer, beneficial owner or person purporting to act on behalf of the customer claims to be.

Note:       A reporting entity is not required to take any measures that would contravene the tipping off offence in section 123 of the Act.",1
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Act 2006, A person is not excused from giving a report under section 47 on the ground that the report might tend to incriminate the person or expose the person to a penalty.,0
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Rules Instrument 2007 (No. 1),"Customer due diligence procedures (however described) that comply with one or more laws of a foreign country giving effect to the FATF Recommendations relating to customer due diligence and record-keeping and require the other person to:
(1)     identify the customer and verify the customer’s identity using reliable and independent sources, so that the other person is satisfied that it knows who the customer is; and
(2)     identify the beneficial owner of the customer and take reasonable measures to verify the identity of the beneficial owner, so that the other person is satisfied that it knows who the beneficial owner is; and
(3)     identify a person acting on behalf of the customer and take reasonable steps to verify the person’s identity and authority to act on behalf of the customer, so that the other person is satisfied that it knows who the person is and that the person has authority to act on behalf of the customer.
Note 1:       Country has meaning given by section 5 of the Act.
Note 2:       A foreign country may include a region or regions. These regions may have a different risk profile to each other or the rest of the foreign country.",1
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Rules Instrument 2007 (No. 1),"An AML/CTF program must include appropriate risk‑based systems and controls that are designed to enable the reporting entity to be reasonably satisfied, where a customer is an individual, that the customer is the individual that he or she claims to be.",1
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Rules Instrument 2007 (No. 1), The procedures in paragraph 7.1.3 are prescribed.,0
Know Your Customer,Anti-Money Laundering and Counter-Terrorism Financing Rules Instrument 2007 (No. 1),"In so far as a reporting entity has any customer who is an individual, an AML/CTF program must comply with the requirements specified in Part 4.2 of these Rules.

",1
