Process,document_title,Text,label
Travel Insurance Claim,General Insurance Code of Practice,"The objectives of the Code are:
a. to commit us to high standards of service;
b. to promote better, more informed relations between us and you;
c. to maintain and promote trust and confidence in the general insurance industry;
d. to provide fair and effective mechanisms for resolving Complaints you make about us; and
e. to promote continuous improvement of the general insurance industry through education and training.",0
Travel Insurance Claim,General Insurance Code of Practice,"Also, the Code does not cover:
a. reinsurance;
b. life insurance products issued by a life insurer; and
c. health insurance products issued by a registered health insurer.",0
Travel Insurance Claim,General Insurance Code of Practice,"We are in breach of the Code if our
Employees, Distributors or Service
Suppliers do not comply with the Code
when they are acting on our behalf.
Although our Distributors and Service
Suppliers are not subscribers to this Code,
they are accountable to us for complying
with the relevant standards in the Code.",0
Travel Insurance Claim,General Insurance Code of Practice,"We, our Distributors and our Service
Suppliers will be honest, efficient, fair,
transparent and timely in our dealings
with you.",1
Travel Insurance Claim,General Insurance Code of Practice,"We will only allow our Employees and
Distributors to provide services that
match their expertise.",1
Travel Insurance Claim,General Insurance Code of Practice,"We will have policies and procedures in
place to monitor the performance of our
Employees and/or Distributors.",1
Travel Insurance Claim,General Insurance Code of Practice,"If you have a concern about a person or
organisation selling our product who is not
one of our Distributors, you can contact
us and we will let you know how you can
have the matter addressed. You can also
contact the Code Governance Committee.",0
Travel Insurance Claim,General Insurance Code of Practice,"If you make a Complaint to one of our
Service Suppliers about either us or their
conduct, then the Service Supplier will tell
us about the Complaint within 2 Business
Days. Your Complaint will be handled
under the Code’s Complaints process.",0
Travel Insurance Claim,General Insurance Code of Practice,"A Service Supplier must first get our
approval before subcontracting any
services they perform on our behalf.",0
Travel Insurance Claim,General Insurance Code of Practice,"Pressure Selling of our products is
prohibited. We will make this clear to
our Employees and Distributors.",0
Travel Insurance Claim,General Insurance Code of Practice,"If your insurance policy has a No Claims
Discount, we must tell you how it works.
A No Claims Discount is sometimes
called a ‘No Claims Bonus’ or a ‘No
Claims Entitlement’.",0
Travel Insurance Claim,General Insurance Code of Practice,"Your insurance policy may allow you to
cancel it and obtain a refund. If you are
entitled to a refund and you cancel your
policy, then we will return the amount
within 15 Business Days. However, if
you arranged your insurance through
an insurance broker, then different
arrangements will apply — you will need to
ask your broker about those arrangements.",0
Travel Insurance Claim,General Insurance Code of Practice,"If you make a claim, then we will tell you:
a. about our claims process;
b. about any excess amounts you have to
cover or pay in relation to your claim;
c. about any waiting or no cover periods
that need to finish before we start
paying you under the policy; and
d. how to contact us regarding your claim.",1
