model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.8783702816057519,0.11278195488721804,0.012719769348182485,0.11278195488721804,0.022861207071733388
GradientBoostingClassifier,gpt,0.9844218094667465,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,gpt,0.9676452965847813,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,gpt,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,gpt,0.9454763331336129,0.8984962406015038,0.9089167786386118,0.8984962406015038,0.8597180690841697
DecisionTreeClassifier,gpt,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Logistic_Regression,gpt,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,gpt,0.9676452965847813,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,gpt,0.9304973037747154,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,ft,0.9047333732774117,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GradientBoostingClassifier,ft,0.9622528460155781,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,ft,0.9041342121030557,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,ft,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,ft,0.9131216297183943,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
DecisionTreeClassifier,ft,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Logistic_Regression,ft,0.9131216297183943,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,ft,0.920311563810665,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,ft,0.8562013181545836,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,w2v,0.8987417615338527,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GradientBoostingClassifier,w2v,0.9658478130617136,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,w2v,0.9161174355901738,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,w2v,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,w2v,0.9131216297183943,0.8872180451127819,0.8461494645705172,0.8872180451127819,0.8410338345864662
DecisionTreeClassifier,w2v,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Logistic_Regression,w2v,0.9149191132414619,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,w2v,0.932893948472139,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,w2v,0.8975434391851408,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,glove,0.9089275014979029,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GradientBoostingClassifier,glove,0.982025164769323,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,glove,0.9394847213900539,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,glove,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,glove,0.9245056920311564,0.8308270676691729,0.8380129019388112,0.8308270676691729,0.8343139298138738
DecisionTreeClassifier,glove,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Logistic_Regression,glove,0.9454763331336129,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,glove,0.9352905931695626,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,glove,0.9089275014979029,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,bert,0.9394847213900539,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GradientBoostingClassifier,bert,0.9850209706411025,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,bert,0.9352905931695626,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,bert,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,bert,0.9185140802875974,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
DecisionTreeClassifier,bert,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Logistic_Regression,bert,0.9466746554823248,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,bert,0.9370880766926303,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,bert,0.8400239664469742,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,tfidf,0.7980826842420611,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GradientBoostingClassifier,tfidf,0.9856201318154584,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,tfidf,0.9478729778310365,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,tfidf,0.9970041941282205,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,tfidf,0.914319952067106,0.8609022556390977,0.8461222837017396,0.8609022556390977,0.8527329273670645
DecisionTreeClassifier,tfidf,0.9970041941282205,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Logistic_Regression,tfidf,0.9610545236668664,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,tfidf,0.9382863990413421,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,tfidf,0.9239065308568005,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
