model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.36548831635710005,0.48872180451127817,0.8156545384360492,0.48872180451127817,0.5756523090672416
GradientBoostingClassifier,gpt,0.9868184541641701,0.9398496240601504,0.9361972003178678,0.9398496240601504,0.9344585530215581
KNeighborsClassifier,gpt,0.9556620730976633,0.9323308270676691,0.9275406257579434,0.9323308270676691,0.9247110544957435
SGDClassifier,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,gpt,1.0,0.9624060150375939,0.9639342258084234,0.9624060150375939,0.9590365956384738
BernoulliNB,gpt,0.45835829838226483,0.5864661654135338,0.833741249675914,0.5864661654135338,0.6621931363293605
DecisionTreeClassifier,gpt,1.0,0.9398496240601504,0.9370059764796608,0.9398496240601504,0.9379541290200291
Logistic_Regression,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,gpt,0.9197124026363092,0.8909774436090225,0.9029082139310541,0.8909774436090225,0.8431383655197487
GaussianNB,ft,0.6482923906530856,0.6541353383458647,0.8142332575625109,0.6541353383458647,0.7143405596218664
GradientBoostingClassifier,ft,0.9688436189334931,0.9473684210526315,0.9503157894736842,0.9473684210526315,0.9401173357440838
KNeighborsClassifier,ft,0.944877171959257,0.924812030075188,0.9242347995974187,0.924812030075188,0.9100813257633881
SGDClassifier,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,ft,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,ft,0.7609346914319952,0.7406015037593985,0.8253258095258137,0.7406015037593985,0.7756675834012031
DecisionTreeClassifier,ft,1.0,0.9511278195488722,0.9487782795690245,0.9511278195488722,0.9482575150208604
Logistic_Regression,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,ft,0.9131216297183943,0.8909774436090225,0.8679493410331913,0.8909774436090225,0.8493268149422564
GaussianNB,w2v,0.6129418813660875,0.6992481203007519,0.8223303190408454,0.6992481203007519,0.7474095014675438
GradientBoostingClassifier,w2v,0.9850209706411025,0.9398496240601504,0.9361756664388243,0.9398496240601504,0.9368854493276427
KNeighborsClassifier,w2v,0.9340922708208508,0.9060150375939849,0.8917113500883683,0.9060150375939849,0.8917982842115556
SGDClassifier,w2v,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,w2v,1.0,0.9624060150375939,0.9621482917427697,0.9624060150375939,0.9598274532485058
BernoulliNB,w2v,0.4949071300179748,0.6203007518796992,0.8338392565264092,0.6203007518796992,0.6899069672501994
DecisionTreeClassifier,w2v,1.0,0.9473684210526315,0.9450404858299595,0.9473684210526315,0.9457098628925255
Logistic_Regression,w2v,0.9119233073696824,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,w2v,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,w2v,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,glove,0.6081485919712403,0.6879699248120301,0.8155021060504665,0.6879699248120301,0.738391646563716
GradientBoostingClassifier,glove,0.9844218094667465,0.9323308270676691,0.9320921350996539,0.9323308270676691,0.9211366717837813
KNeighborsClassifier,glove,0.9502696225284601,0.9210526315789473,0.9128899498924491,0.9210526315789473,0.9111924360143615
SGDClassifier,glove,0.920910724985021,0.8947368421052632,0.9059011164274322,0.8947368421052632,0.8516315789473684
RandomForestClassifier,glove,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,glove,0.7705212702216896,0.7819548872180451,0.8198013461171356,0.7819548872180451,0.7992482090390618
DecisionTreeClassifier,glove,1.0,0.9473684210526315,0.9460099829405447,0.9473684210526315,0.9465720171226845
Logistic_Regression,glove,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,glove,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,glove,0.7938885560215698,0.8007518796992481,0.8566573222852507,0.8007518796992481,0.8232553100356278
GaussianNB,bert,0.6345116836428999,0.6992481203007519,0.8223303190408454,0.6992481203007519,0.7474095014675438
