model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.3751500600240096,0.4849624060150376,0.1258741258741259,0.6,0.20809248554913293
GradientBoostingClassifier,gpt,0.921968787515006,0.8984962406015038,1.0,0.1,0.18181818181818182
SGDClassifier,gpt,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
RandomForestClassifier,gpt,1.0,0.9624060150375939,1.0,0.6666666666666666,0.8
BernoulliNB,gpt,0.5402160864345739,0.6015037593984962,0.16071428571428573,0.6,0.25352112676056343
DecisionTreeClassifier,gpt,0.9573829531812725,0.9360902255639098,1.0,0.43333333333333335,0.6046511627906976
Logistic_Regression,gpt,0.9975990396158463,0.9511278195488722,0.7931034482758621,0.7666666666666667,0.7796610169491527
SVC,gpt,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
Perceptron,gpt,0.0894357743097239,0.11278195488721804,0.11278195488721804,1.0,0.20270270270270271
GaussianNB,fasttext,0.6224489795918368,0.7142857142857143,0.1891891891891892,0.4666666666666667,0.2692307692307693
GradientBoostingClassifier,fasttext,0.9759903961584634,0.9548872180451128,1.0,0.6,0.7499999999999999
SGDClassifier,fasttext,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
RandomForestClassifier,fasttext,1.0,0.9624060150375939,1.0,0.6666666666666666,0.8
BernoulliNB,fasttext,0.634453781512605,0.706766917293233,0.2073170731707317,0.5666666666666667,0.3035714285714286
DecisionTreeClassifier,fasttext,1.0,0.9699248120300752,1.0,0.7333333333333333,0.846153846153846
Logistic_Regression,fasttext,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
SVC,fasttext,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
Perceptron,fasttext,0.7707082833133253,0.8045112781954887,0.21052631578947367,0.26666666666666666,0.23529411764705882
GaussianNB,word2vec,0.5630252100840336,0.6766917293233082,0.18181818181818182,0.5333333333333333,0.2711864406779661
GradientBoostingClassifier,word2vec,0.9771908763505402,0.9473684210526315,1.0,0.5333333333333333,0.6956521739130436
SGDClassifier,word2vec,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
RandomForestClassifier,word2vec,0.9993997599039616,0.9586466165413534,0.9523809523809523,0.6666666666666666,0.7843137254901961
BernoulliNB,word2vec,0.4879951980792317,0.6127819548872181,0.1588785046728972,0.5666666666666667,0.2481751824817518
DecisionTreeClassifier,word2vec,1.0,0.943609022556391,0.8,0.6666666666666666,0.7272727272727272
Logistic_Regression,word2vec,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
SVC,word2vec,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
Perceptron,word2vec,0.9087635054021609,0.8759398496240601,0.2,0.03333333333333333,0.05714285714285715
GaussianNB,glove,0.6194477791116446,0.7330827067669173,0.1746031746031746,0.36666666666666664,0.2365591397849462
GradientBoostingClassifier,glove,0.9129651860744298,0.8909774436090225,1.0,0.03333333333333333,0.06451612903225806
SGDClassifier,glove,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
RandomForestClassifier,glove,1.0,0.9624060150375939,1.0,0.6666666666666666,0.8
BernoulliNB,glove,0.7472989195678271,0.8383458646616542,0.30303030303030304,0.3333333333333333,0.31746031746031744
DecisionTreeClassifier,glove,0.9693877551020408,0.9210526315789473,0.7647058823529411,0.43333333333333335,0.5531914893617021
Logistic_Regression,glove,0.9603841536614646,0.9285714285714286,0.6410256410256411,0.8333333333333334,0.7246376811594204
SVC,glove,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
Perceptron,glove,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
GaussianNB,bert,0.6404561824729892,0.7669172932330827,0.25,0.5333333333333333,0.3404255319148936
GradientBoostingClassifier,bert,0.9141656662665066,0.8909774436090225,1.0,0.03333333333333333,0.06451612903225806
SGDClassifier,bert,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
RandomForestClassifier,bert,1.0,0.9624060150375939,1.0,0.6666666666666666,0.8
BernoulliNB,bert,0.7677070828331333,0.8383458646616542,0.30303030303030304,0.3333333333333333,0.31746031746031744
DecisionTreeClassifier,bert,0.9687875150060024,0.943609022556391,0.9411764705882353,0.5333333333333333,0.6808510638297872
Logistic_Regression,bert,0.9951980792316927,0.9473684210526315,0.7857142857142857,0.7333333333333333,0.7586206896551724
SVC,bert,0.7034813925570228,0.7857142857142857,0.22448979591836735,0.36666666666666664,0.2784810126582279
Perceptron,bert,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
GaussianNB,tfidf,0.6374549819927972,0.6541353383458647,0.20754716981132076,0.7333333333333333,0.32352941176470584
GradientBoostingClassifier,tfidf,0.9111644657863145,0.8872180451127819,0.0,0.0,0.0
SGDClassifier,tfidf,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
RandomForestClassifier,tfidf,0.9729891956782714,0.9511278195488722,0.9047619047619048,0.6333333333333333,0.7450980392156863
BernoulliNB,tfidf,0.4447779111644658,0.4924812030075188,0.13793103448275862,0.6666666666666666,0.2285714285714286
DecisionTreeClassifier,tfidf,0.9501800720288115,0.9285714285714286,0.7894736842105263,0.5,0.6122448979591837
Logistic_Regression,tfidf,0.9993997599039616,0.9548872180451128,0.8461538461538461,0.7333333333333333,0.7857142857142856
SVC,tfidf,0.812124849939976,0.7969924812030075,0.29310344827586204,0.5666666666666667,0.3863636363636363
Perceptron,tfidf,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
