model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.695078031212485,0.7293233082706767,0.2236842105263158,0.5666666666666667,0.32075471698113206
GradientBoostingClassifier,gpt,0.9933973589435774,0.9586466165413534,1.0,0.6333333333333333,0.7755102040816326
SGDClassifier,gpt,0.9477791116446579,0.924812030075188,1.0,0.3333333333333333,0.5
RandomForestClassifier,gpt,1.0,0.9624060150375939,1.0,0.6666666666666666,0.8
BernoulliNB,gpt,0.6974789915966386,0.7406015037593985,0.24,0.6,0.34285714285714286
DecisionTreeClassifier,gpt,1.0,0.9398496240601504,0.7692307692307693,0.6666666666666666,0.7142857142857142
Logistic_Regression,gpt,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
SVC,gpt,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
Perceptron,gpt,0.9765906362545018,0.9473684210526315,1.0,0.5333333333333333,0.6956521739130436
GaussianNB,fasttext,0.6842737094837935,0.7819548872180451,0.26666666666666666,0.5333333333333333,0.3555555555555555
GradientBoostingClassifier,fasttext,0.975390156062425,0.9398496240601504,0.9375,0.5,0.6521739130434783
SGDClassifier,fasttext,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
RandomForestClassifier,fasttext,1.0,0.9624060150375939,1.0,0.6666666666666666,0.8
BernoulliNB,fasttext,0.7106842737094838,0.7894736842105263,0.25925925925925924,0.4666666666666667,0.33333333333333337
DecisionTreeClassifier,fasttext,1.0,0.9624060150375939,0.9166666666666666,0.7333333333333333,0.8148148148148148
Logistic_Regression,fasttext,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
SVC,fasttext,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
Perceptron,fasttext,0.8109243697478992,0.7781954887218046,0.23636363636363636,0.43333333333333335,0.3058823529411765
GaussianNB,word2vec,0.7304921968787516,0.793233082706767,0.2807017543859649,0.5333333333333333,0.367816091954023
GradientBoostingClassifier,word2vec,0.985594237695078,0.9473684210526315,1.0,0.5333333333333333,0.6956521739130436
SGDClassifier,word2vec,0.9207683073229291,0.8909774436090225,0.5384615384615384,0.23333333333333334,0.32558139534883723
RandomForestClassifier,word2vec,1.0,0.9624060150375939,1.0,0.6666666666666666,0.8
BernoulliNB,word2vec,0.6944777911164466,0.7857142857142857,0.2631578947368421,0.5,0.3448275862068966
DecisionTreeClassifier,word2vec,1.0,0.9398496240601504,0.7692307692307693,0.6666666666666666,0.7142857142857142
Logistic_Regression,word2vec,0.9135654261704682,0.8872180451127819,0.5,0.06666666666666667,0.11764705882352941
SVC,word2vec,0.9111644657863145,0.8872180451127819,0.0,0.0,0.0
Perceptron,word2vec,0.8913565426170468,0.8759398496240601,0.42857142857142855,0.3,0.3529411764705882
GaussianNB,glove,0.6572629051620649,0.7556390977443609,0.2463768115942029,0.5666666666666667,0.3434343434343434
GradientBoostingClassifier,glove,0.9915966386554622,0.9548872180451128,0.95,0.6333333333333333,0.7599999999999999
SGDClassifier,glove,0.9345738295318127,0.9060150375939849,1.0,0.16666666666666666,0.2857142857142857
RandomForestClassifier,glove,1.0,0.9624060150375939,1.0,0.6666666666666666,0.8
BernoulliNB,glove,0.7623049219687875,0.8308270676691729,0.3333333333333333,0.5,0.4
DecisionTreeClassifier,glove,1.0,0.943609022556391,0.8,0.6666666666666666,0.7272727272727272
Logistic_Regression,glove,0.9183673469387755,0.8909774436090225,1.0,0.03333333333333333,0.06451612903225806
SVC,glove,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
Perceptron,glove,0.9153661464585834,0.8872180451127819,0.0,0.0,0.0
GaussianNB,bert,0.6176470588235294,0.6917293233082706,0.20454545454545456,0.6,0.30508474576271183
GradientBoostingClassifier,bert,0.9849939975990396,0.9548872180451128,1.0,0.6,0.7499999999999999
SGDClassifier,bert,0.978391356542617,0.943609022556391,0.8260869565217391,0.6333333333333333,0.7169811320754716
RandomForestClassifier,bert,1.0,0.9624060150375939,1.0,0.6666666666666666,0.8
BernoulliNB,bert,0.7496998799519808,0.8233082706766918,0.3333333333333333,0.5666666666666667,0.4197530864197531
DecisionTreeClassifier,bert,1.0,0.9548872180451128,0.875,0.7,0.7777777777777777
Logistic_Regression,bert,0.9699879951980792,0.9473684210526315,1.0,0.5333333333333333,0.6956521739130436
SVC,bert,0.9105642256902761,0.8872180451127819,0.0,0.0,0.0
Perceptron,bert,0.9429771908763506,0.9135338345864662,1.0,0.23333333333333334,0.37837837837837834
GaussianNB,tfidf,0.7665066026410564,0.7368421052631579,0.26744186046511625,0.7666666666666667,0.396551724137931
GradientBoostingClassifier,tfidf,0.9561824729891957,0.924812030075188,1.0,0.3333333333333333,0.5
SGDClassifier,tfidf,0.9765906362545018,0.9360902255639098,0.8421052631578947,0.5333333333333333,0.653061224489796
RandomForestClassifier,tfidf,0.9993997599039616,0.9624060150375939,1.0,0.6666666666666666,0.8
BernoulliNB,tfidf,0.6716686674669868,0.6804511278195489,0.1839080459770115,0.5333333333333333,0.27350427350427353
DecisionTreeClassifier,tfidf,0.9993997599039616,0.9661654135338346,0.8888888888888888,0.8,0.8421052631578948
Logistic_Regression,tfidf,0.9171668667466987,0.8947368421052632,1.0,0.06666666666666667,0.125
SVC,tfidf,0.957983193277311,0.9210526315789473,1.0,0.3,0.4615384615384615
Perceptron,tfidf,0.9297719087635054,0.9022556390977443,1.0,0.13333333333333333,0.23529411764705882
