model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.6872378669862192,0.7030075187969925,0.8522801967544795,0.7030075187969925,0.7544416248629079
GradientBoostingClassifier,gpt,0.9197124026363092,0.8984962406015038,0.9089167786386118,0.8984962406015038,0.8597180690841697
SGDClassifier,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,gpt,1.0,0.9624060150375939,0.9639342258084234,0.9624060150375939,0.9590365956384738
BernoulliNB,gpt,0.6992210904733374,0.7030075187969925,0.8522801967544795,0.7030075187969925,0.7544416248629079
DecisionTreeClassifier,gpt,0.9676452965847813,0.9285714285714286,0.9224489795918367,0.9285714285714286,0.9229371582312759
Logistic_Regression,gpt,1.0,0.9548872180451128,0.952906543217548,0.9548872180451128,0.952664086995732
SVC,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,gpt,0.08867585380467345,0.11278195488721804,0.012719769348182485,0.11278195488721804,0.022861207071733388
GaussianNB,fasttext,0.6920311563810665,0.6992481203007519,0.8271270280965571,0.6992481203007519,0.7482678260892731
GradientBoostingClassifier,fasttext,0.975434391851408,0.943609022556391,0.9469790012880808,0.943609022556391,0.9350789705269333
SGDClassifier,fasttext,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,fasttext,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,fasttext,0.7459556620730977,0.7406015037593985,0.8300307418793289,0.7406015037593985,0.7768742158136174
DecisionTreeClassifier,fasttext,1.0,0.9511278195488722,0.9494167776484446,0.9511278195488722,0.949996042738425
Logistic_Regression,fasttext,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,fasttext,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,fasttext,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,word2vec,0.7603355302576393,0.7443609022556391,0.830762865417814,0.7443609022556391,0.7795239085856935
GradientBoostingClassifier,word2vec,0.9838226482923906,0.9548872180451128,0.954688550644905,0.9548872180451128,0.9508439147661686
SGDClassifier,word2vec,0.8861593768723787,0.8421052631578947,0.8553775743707094,0.8421052631578947,0.8482658069285582
RandomForestClassifier,word2vec,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,word2vec,0.7423606950269622,0.7593984962406015,0.833773758002433,0.7593984962406015,0.7900894743000006
DecisionTreeClassifier,word2vec,1.0,0.9511278195488722,0.9494167776484446,0.9511278195488722,0.949996042738425
Logistic_Regression,word2vec,0.914319952067106,0.8909774436090225,0.8631060409644802,0.8909774436090225,0.8547828323323399
SVC,word2vec,0.9119233073696824,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,word2vec,0.8795686039544638,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
GaussianNB,glove,0.6393049730377471,0.6691729323308271,0.846915656285692,0.6691729323308271,0.7286004384775981
GradientBoostingClassifier,glove,0.9191132414619533,0.8984962406015038,0.9089167786386118,0.8984962406015038,0.8597180690841697
SGDClassifier,glove,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,glove,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,glove,0.732174955062912,0.7368421052631579,0.8387434718704069,0.7368421052631579,0.7763417760992343
DecisionTreeClassifier,glove,0.9640503295386459,0.9285714285714286,0.9224489795918367,0.9285714285714286,0.9229371582312759
Logistic_Regression,glove,0.9988016776512882,0.9360902255639098,0.9351959120848827,0.9360902255639098,0.9356161752070721
SVC,glove,0.81725584182145,0.7894736842105263,0.8357375663930467,0.7894736842105263,0.8095917530186021
Perceptron,glove,0.08867585380467345,0.11278195488721804,0.012719769348182485,0.11278195488721804,0.022861207071733388
GaussianNB,bert,0.6123427201917315,0.6390977443609023,0.842202349489218,0.6390977443609023,0.7050444292549557
GradientBoostingClassifier,bert,0.9137207908927502,0.8947368421052632,0.9059011164274322,0.8947368421052632,0.8516315789473684
SGDClassifier,bert,0.9149191132414619,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,bert,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,bert,0.74415817855003,0.7406015037593985,0.8441811879068671,0.7406015037593985,0.780013228536384
DecisionTreeClassifier,bert,0.9766327142001199,0.924812030075188,0.9183353316226482,0.924812030075188,0.9196549064970118
Logistic_Regression,bert,1.0,0.9511278195488722,0.9487782795690245,0.9511278195488722,0.9482575150208604
SVC,bert,0.762133013780707,0.7556390977443609,0.8564575198756105,0.7556390977443609,0.7927660848531154
Perceptron,bert,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,tfidf,0.6674655482324745,0.6127819548872181,0.8728755488036134,0.6127819548872181,0.6832176650626932
GradientBoostingClassifier,tfidf,0.914319952067106,0.8947368421052632,0.9059011164274322,0.8947368421052632,0.8516315789473684
SGDClassifier,tfidf,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,tfidf,0.9646494907130018,0.9210526315789473,0.9160515396374754,0.9210526315789473,0.9178778851072794
BernoulliNB,tfidf,0.6237267825044938,0.575187969924812,0.8152069397856954,0.575187969924812,0.6531520164316809
DecisionTreeClassifier,tfidf,0.9556620730976633,0.9210526315789473,0.9201613659817994,0.9210526315789473,0.9042874435604683
Logistic_Regression,tfidf,0.9988016776512882,0.9473684210526315,0.9450404858299595,0.9473684210526315,0.9457098628925255
SVC,tfidf,0.92690233672858,0.8909774436090225,0.8991309442437262,0.8909774436090225,0.8945869863259697
Perceptron,tfidf,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
