model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.6872378669862192,0.7030075187969925,0.8522801967544795,0.7030075187969925,0.7544416248629079
GradientBoostingClassifier,gpt,0.9916117435590174,0.9398496240601504,0.9397180451127819,0.9398496240601504,0.93156266942181
KNeighborsClassifier,gpt,0.9718394248052726,0.943609022556391,0.9404327144391591,0.943609022556391,0.9391609143931126
SGDClassifier,gpt,0.9526662672258838,0.9285714285714286,0.9338935574229693,0.9285714285714286,0.9134029251261381
RandomForestClassifier,gpt,1.0,0.9473684210526315,0.9472269383135259,0.9473684210526315,0.9414419312744671
BernoulliNB,gpt,0.6938286399041342,0.6954887218045113,0.8510739379753564,0.6954887218045113,0.7487523256705247
DecisionTreeClassifier,gpt,1.0,0.9398496240601504,0.9370059764796608,0.9398496240601504,0.9379541290200291
Logistic_Regression,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,gpt,0.9916117435590174,0.9511278195488722,0.95046105004983,0.9511278195488722,0.9507653104524668
GaussianNB,ft,0.6938286399041342,0.706766917293233,0.82847532683059,0.706766917293233,0.7537242639308552
GradientBoostingClassifier,ft,0.9724385859796285,0.9398496240601504,0.9397180451127819,0.9398496240601504,0.93156266942181
KNeighborsClassifier,ft,0.9454763331336129,0.9285714285714286,0.9223767921828864,0.9285714285714286,0.9213673046858495
SGDClassifier,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,ft,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,ft,0.7525464349910126,0.7518796992481203,0.8322505292357106,0.7518796992481203,0.7848127105093049
DecisionTreeClassifier,ft,1.0,0.9323308270676691,0.9344233982391877,0.9323308270676691,0.9332782883770854
Logistic_Regression,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,ft,0.9149191132414619,0.8909774436090225,0.8631060409644802,0.8909774436090225,0.8547828323323399
GaussianNB,w2v,0.7357699221090473,0.7368421052631579,0.8245946935650321,0.7368421052631579,0.7730393176617433
GradientBoostingClassifier,w2v,0.9862192929898143,0.9285714285714286,0.9223767921828864,0.9285714285714286,0.9213673046858495
KNeighborsClassifier,w2v,0.9436788496105453,0.9135338345864662,0.9026925925728567,0.9135338345864662,0.9027345727776339
SGDClassifier,w2v,0.9191132414619533,0.8834586466165414,0.8515004087759506,0.8834586466165414,0.85871003573212
RandomForestClassifier,w2v,1.0,0.9548872180451128,0.9533856997187454,0.9548872180451128,0.951792943898207
BernoulliNB,w2v,0.6440982624325944,0.7105263157894737,0.8387744252405906,0.7105263157894737,0.758096119903938
