model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.5919712402636309,0.11278195488721804,0.012719769348182485,0.11278195488721804,0.022861207071733388
GradientBoostingClassifier,gpt,0.9916117435590174,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,gpt,0.9334931096464949,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,gpt,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,gpt,0.9227082085080887,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
DecisionTreeClassifier,gpt,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Logistic_Regression,gpt,0.9592570401437986,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,gpt,0.9155182744158179,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,gpt,0.9281006590772918,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,ft,0.9125224685440384,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GradientBoostingClassifier,ft,0.957459556620731,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,ft,0.8741761533852607,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,ft,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
DecisionTreeClassifier,ft,1.0,0.849624060150376,0.7953199928956248,0.849624060150376,0.8201626515267761
Logistic_Regression,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,ft,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,w2v,0.9125224685440384,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GradientBoostingClassifier,w2v,0.9544637507489515,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,w2v,0.9065308568004793,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,w2v,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,w2v,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
DecisionTreeClassifier,w2v,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Logistic_Regression,w2v,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,w2v,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,w2v,0.8705811863391252,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,glove,0.8106650689035351,0.11278195488721804,0.012719769348182485,0.11278195488721804,0.022861207071733388
GradientBoostingClassifier,glove,0.9736369083283404,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,glove,0.9101258238466148,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,glove,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,glove,0.9119233073696824,0.8796992481203008,0.8172100097572175,0.8796992481203008,0.8368422828865216
DecisionTreeClassifier,glove,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Logistic_Regression,glove,0.9245056920311564,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,glove,0.9179149191132414,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,glove,0.8448172558418214,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,bert,0.7633313361294188,0.11278195488721804,0.012719769348182485,0.11278195488721804,0.022861207071733388
GradientBoostingClassifier,bert,0.9850209706411025,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,bert,0.9292989814260036,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,bert,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,bert,0.9245056920311564,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
DecisionTreeClassifier,bert,1.0,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Logistic_Regression,bert,0.9430796884361894,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,bert,0.9275014979029359,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,bert,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,tfidf,0.5781905332534452,0.11278195488721804,0.012719769348182485,0.11278195488721804,0.022861207071733388
GradientBoostingClassifier,tfidf,0.9748352306770521,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,tfidf,0.896345116836429,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,tfidf,0.9994008388256441,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
BernoulliNB,tfidf,0.8951467944877172,0.8721804511278195,0.8274788533834586,0.8721804511278195,0.8428235222201848
DecisionTreeClassifier,tfidf,0.9994008388256441,0.8834586466165414,0.786778266420769,0.8834586466165414,0.83232032176249
Logistic_Regression,tfidf,0.9233073696824445,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,tfidf,0.9137207908927502,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,tfidf,0.8448172558418214,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
