model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.36548831635710005,0.48872180451127817,0.8156545384360492,0.48872180451127817,0.5756523090672416
GradientBoostingClassifier,gpt,0.9862192929898143,0.943609022556391,0.9434820218512262,0.943609022556391,0.9365660257245438
KNeighborsClassifier,gpt,0.9556620730976633,0.9323308270676691,0.9275406257579434,0.9323308270676691,0.9247110544957435
SGDClassifier,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,gpt,1.0,0.9548872180451128,0.954688550644905,0.9548872180451128,0.9508439147661686
BernoulliNB,gpt,0.45955662073097664,0.5864661654135338,0.833741249675914,0.5864661654135338,0.6621931363293605
DecisionTreeClassifier,gpt,1.0,0.9473684210526315,0.9450404858299595,0.9473684210526315,0.9457098628925255
Logistic_Regression,gpt,0.8064709406830437,0.7744360902255639,0.8600775608575896,0.7744360902255639,0.8064747996484946
SVC,gpt,0.8106650689035351,0.7857142857142857,0.876300478940545,0.7857142857142857,0.8174699101112182
Perceptron,gpt,0.7130017974835231,0.7255639097744361,0.8812762242685366,0.7255639097744361,0.7739938080495357
GaussianNB,ft,0.36548831635710005,0.48872180451127817,0.8156545384360492,0.48872180451127817,0.5756523090672416
GradientBoostingClassifier,ft,0.9862192929898143,0.943609022556391,0.9434820218512262,0.943609022556391,0.9365660257245438
KNeighborsClassifier,ft,0.9556620730976633,0.9323308270676691,0.9275406257579434,0.9323308270676691,0.9247110544957435
SGDClassifier,ft,0.9125224685440384,0.8909774436090225,0.9029082139310541,0.8909774436090225,0.8431383655197487
RandomForestClassifier,ft,1.0,0.9586466165413534,0.9604882651974065,0.9586466165413534,0.954475807976018
BernoulliNB,ft,0.45955662073097664,0.5864661654135338,0.833741249675914,0.5864661654135338,0.6621931363293605
DecisionTreeClassifier,ft,1.0,0.943609022556391,0.9415274588144,0.943609022556391,0.9423031262366443
Logistic_Regression,ft,0.8064709406830437,0.7744360902255639,0.8600775608575896,0.7744360902255639,0.8064747996484946
SVC,ft,0.8106650689035351,0.7857142857142857,0.876300478940545,0.7857142857142857,0.8174699101112182
Perceptron,ft,0.7130017974835231,0.7255639097744361,0.8812762242685366,0.7255639097744361,0.7739938080495357
GaussianNB,w2v,0.36548831635710005,0.48872180451127817,0.8156545384360492,0.48872180451127817,0.5756523090672416
GradientBoostingClassifier,w2v,0.9856201318154584,0.9511278195488722,0.9536793791708186,0.9511278195488722,0.9450238889612714
KNeighborsClassifier,w2v,0.9556620730976633,0.9323308270676691,0.9275406257579434,0.9323308270676691,0.9247110544957435
SGDClassifier,w2v,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,w2v,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,w2v,0.45955662073097664,0.5864661654135338,0.833741249675914,0.5864661654135338,0.6621931363293605
DecisionTreeClassifier,w2v,1.0,0.9511278195488722,0.9488222631266965,0.9511278195488722,0.9491625003045062
Logistic_Regression,w2v,0.8064709406830437,0.7744360902255639,0.8600775608575896,0.7744360902255639,0.8064747996484946
SVC,w2v,0.8106650689035351,0.7857142857142857,0.876300478940545,0.7857142857142857,0.8174699101112182
Perceptron,w2v,0.7130017974835231,0.7255639097744361,0.8812762242685366,0.7255639097744361,0.7739938080495357
GaussianNB,glove,0.6081485919712403,0.6879699248120301,0.8155021060504665,0.6879699248120301,0.738391646563716
GradientBoostingClassifier,glove,0.9844218094667465,0.9323308270676691,0.9320921350996539,0.9323308270676691,0.9211366717837813
KNeighborsClassifier,glove,0.9502696225284601,0.9210526315789473,0.9128899498924491,0.9210526315789473,0.9111924360143615
SGDClassifier,glove,0.9131216297183943,0.8909774436090225,0.9029082139310541,0.8909774436090225,0.8431383655197487
RandomForestClassifier,glove,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,glove,0.7705212702216896,0.7819548872180451,0.8198013461171356,0.7819548872180451,0.7992482090390618
DecisionTreeClassifier,glove,1.0,0.943609022556391,0.9428284810673563,0.943609022556391,0.9431907428297694
Logistic_Regression,glove,0.8136608747753146,0.7669172932330827,0.8539231742723146,0.7669172932330827,0.8000239596367777
SVC,glove,0.7405632115038946,0.7293233082706767,0.8421149523292768,0.7293233082706767,0.7718317682029971
Perceptron,glove,0.7938885560215698,0.8007518796992481,0.8566573222852507,0.8007518796992481,0.8232553100356278
GaussianNB,bert,0.6345116836428999,0.6992481203007519,0.8223303190408454,0.6992481203007519,0.7474095014675438
GradientBoostingClassifier,bert,0.9844218094667465,0.9473684210526315,0.9503157894736842,0.9473684210526315,0.9401173357440838
KNeighborsClassifier,bert,0.9562612342720191,0.9210526315789473,0.9160199068665887,0.9210526315789473,0.9068190521960487
SGDClassifier,bert,0.9544637507489515,0.9285714285714286,0.9282022325500587,0.9285714285714286,0.9156934281773774
RandomForestClassifier,bert,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,bert,0.7645296584781306,0.8120300751879699,0.8368986625856677,0.8120300751879699,0.8234221918432445
DecisionTreeClassifier,bert,1.0,0.943609022556391,0.9415274588144,0.943609022556391,0.9423031262366443
Logistic_Regression,bert,0.9179149191132414,0.9022556390977443,0.9212540279269603,0.9022556390977443,0.9091260760597144
SVC,bert,0.78070701018574,0.7857142857142857,0.8716308567054837,0.7857142857142857,0.8166067342268715
Perceptron,bert,0.9077291791491912,0.8721804511278195,0.879611554240571,0.8721804511278195,0.8756285746417326
GaussianNB,tfidf,0.5763930497303775,0.5939849624060151,0.8463864654765636,0.5939849624060151,0.6681695793537898
GradientBoostingClassifier,tfidf,0.9706411024565608,0.9360902255639098,0.9403845582335285,0.9360902255639098,0.9245678041587061
KNeighborsClassifier,tfidf,0.950868783702816,0.924812030075188,0.9177058499908307,0.924812030075188,0.9180731912769475
SGDClassifier,tfidf,0.9304973037747154,0.8947368421052632,0.9059011164274322,0.8947368421052632,0.8516315789473684
RandomForestClassifier,tfidf,0.9994008388256441,0.9548872180451128,0.952906543217548,0.9548872180451128,0.952664086995732
BernoulliNB,tfidf,0.37986818454164173,0.42105263157894735,0.8139897807646808,0.42105263157894735,0.5062366157570465
DecisionTreeClassifier,tfidf,0.9994008388256441,0.9511278195488722,0.9488222631266965,0.9511278195488722,0.9491625003045062
Logistic_Regression,tfidf,0.8376273217495507,0.8007518796992481,0.8747400288005097,0.8007518796992481,0.8276866944965763
SVC,tfidf,0.9298981426003595,0.9022556390977443,0.9178421718011843,0.9022556390977443,0.9081795397584872
Perceptron,tfidf,0.9394847213900539,0.9172932330827067,0.9110793512707388,0.9172932330827067,0.9132174928255087
