model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.3751500600240096,0.4849624060150376,0.814856517038802,0.4849624060150376,0.5721108768023558
GradientBoostingClassifier,gpt,0.9213685474189676,0.8984962406015038,0.9089167786386118,0.8984962406015038,0.8597180690841697
SGDClassifier,gpt,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,gpt,1.0,0.9624060150375939,0.9639342258084234,0.9624060150375939,0.9590365956384738
BernoulliNB,gpt,0.5402160864345739,0.6015037593984962,0.8362098427887902,0.6015037593984962,0.6746693385685231
DecisionTreeClassifier,gpt,0.9573829531812725,0.9323308270676691,0.9371262802675981,0.9323308270676691,0.9190731931870493
Logistic_Regression,gpt,0.9975990396158463,0.9511278195488722,0.95046105004983,0.9511278195488722,0.9507653104524668
SVC,gpt,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,gpt,0.0894357743097239,0.11278195488721804,0.012719769348182485,0.11278195488721804,0.022861207071733388
GaussianNB,fasttext,0.6326530612244898,0.7406015037593985,0.8441811879068671,0.7406015037593985,0.780013228536384
GradientBoostingClassifier,fasttext,0.9747899159663865,0.9511278195488722,0.9536793791708186,0.9511278195488722,0.9450238889612714
SGDClassifier,fasttext,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,fasttext,1.0,0.9624060150375939,0.9639342258084234,0.9624060150375939,0.9590365956384738
BernoulliNB,fasttext,0.6584633853541416,0.7218045112781954,0.8504485436176366,0.7218045112781954,0.7678788165382009
DecisionTreeClassifier,fasttext,1.0,0.9624060150375939,0.9621482917427697,0.9624060150375939,0.9598274532485059
Logistic_Regression,fasttext,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,fasttext,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,fasttext,0.9123649459783914,0.8834586466165414,0.8269819034277709,0.8834586466165414,0.838935560800343
GaussianNB,word2vec,0.5864345738295318,0.6954887218045113,0.8410845403059297,0.6954887218045113,0.7476415922057451
GradientBoostingClassifier,word2vec,0.9795918367346939,0.9473684210526315,0.9454428754813863,0.9473684210526315,0.9426512338938633
SGDClassifier,word2vec,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,word2vec,1.0,0.9661654135338346,0.9674083167101427,0.9661654135338346,0.9634965486358675
BernoulliNB,word2vec,0.5366146458583433,0.6428571428571429,0.8323239013167643,0.6428571428571429,0.7075226707772639
DecisionTreeClassifier,word2vec,1.0,0.9661654135338346,0.965887612213572,0.9661654135338346,0.9641782796298267
Logistic_Regression,word2vec,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,word2vec,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,word2vec,0.9111644657863145,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,glove,0.6194477791116446,0.7330827067669173,0.8238700198772795,0.7330827067669173,0.7704068017792295
GradientBoostingClassifier,glove,0.9129651860744298,0.8909774436090225,0.9029082139310541,0.8909774436090225,0.8431383655197487
SGDClassifier,glove,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,glove,1.0,0.9624060150375939,0.9639342258084234,0.9624060150375939,0.9590365956384738
BernoulliNB,glove,0.7472989195678271,0.8383458646616542,0.8452383397041179,0.8383458646616542,0.8416777551554794
DecisionTreeClassifier,glove,0.9705882352941176,0.924812030075188,0.9185225563909775,0.924812030075188,0.9144533367772625
Logistic_Regression,glove,0.9603841536614646,0.9285714285714286,0.9399719223507771,0.9285714285714286,0.9325355834887247
SVC,glove,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,glove,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,bert,0.6404561824729892,0.7669172932330827,0.8539231742723146,0.7669172932330827,0.8000239596367777
GradientBoostingClassifier,bert,0.9141656662665066,0.8909774436090225,0.9029082139310541,0.8909774436090225,0.8431383655197487
SGDClassifier,bert,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,bert,1.0,0.9624060150375939,0.9639342258084234,0.9624060150375939,0.9590365956384738
BernoulliNB,bert,0.7677070828331333,0.8383458646616542,0.8452383397041179,0.8383458646616542,0.8416777551554794
DecisionTreeClassifier,bert,0.9687875150060024,0.9398496240601504,0.9373837820357345,0.9398496240601504,0.9330764928851053
Logistic_Regression,bert,0.9951980792316927,0.9473684210526315,0.9460099829405447,0.9473684210526315,0.9465720171226845
SVC,bert,0.7034813925570228,0.7857142857142857,0.8348537571710712,0.7857142857142857,0.8069889704561513
Perceptron,bert,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,tfidf,0.6374549819927972,0.6541353383458647,0.8662647183997729,0.6541353383458647,0.7175849606190163
GradientBoostingClassifier,tfidf,0.9111644657863145,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SGDClassifier,tfidf,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,tfidf,0.9747899159663865,0.9548872180451128,0.954688550644905,0.9548872180451128,0.9508439147661686
BernoulliNB,tfidf,0.4447779111644658,0.4924812030075188,0.8294503714401421,0.4924812030075188,0.5774941555569596
DecisionTreeClassifier,tfidf,0.9501800720288115,0.924812030075188,0.917697469480152,0.924812030075188,0.9163456161063818
Logistic_Regression,tfidf,0.9993997599039616,0.9548872180451128,0.9530749951802583,0.9548872180451128,0.9534655967650218
SVC,tfidf,0.812124849939976,0.7969924812030075,0.8648236971739695,0.7969924812030075,0.8228879939406255
Perceptron,tfidf,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
