model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.6872378669862192,0.7030075187969925,0.8522801967544795,0.7030075187969925,0.7544416248629079
GradientBoostingClassifier,gpt,0.994008388256441,0.943609022556391,0.9434820218512262,0.943609022556391,0.9365660257245438
SGDClassifier,gpt,0.9640503295386459,0.9323308270676691,0.9371262802675981,0.9323308270676691,0.9190731931870493
RandomForestClassifier,gpt,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,gpt,0.6968244457759137,0.6954887218045113,0.8510739379753564,0.6954887218045113,0.7487523256705247
DecisionTreeClassifier,gpt,1.0,0.9360902255639098,0.9336381399803554,0.9360902255639098,0.9346102097348634
Logistic_Regression,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,gpt,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,gpt,0.9844218094667465,0.943609022556391,0.9406295822543912,0.943609022556391,0.9413413465051995
GaussianNB,fasttext,0.6920311563810665,0.6992481203007519,0.8271270280965571,0.6992481203007519,0.7482678260892731
GradientBoostingClassifier,fasttext,0.9760335530257639,0.9360902255639098,0.9403845582335285,0.9360902255639098,0.9245678041587061
SGDClassifier,fasttext,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,fasttext,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,fasttext,0.7459556620730977,0.7406015037593985,0.8300307418793289,0.7406015037593985,0.7768742158136174
DecisionTreeClassifier,fasttext,1.0,0.9473684210526315,0.9460099829405447,0.9473684210526315,0.9465720171226845
Logistic_Regression,fasttext,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,fasttext,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,fasttext,0.9113241461953265,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
GaussianNB,word2vec,0.7603355302576393,0.7443609022556391,0.830762865417814,0.7443609022556391,0.7795239085856935
GradientBoostingClassifier,word2vec,0.9838226482923906,0.9548872180451128,0.954688550644905,0.9548872180451128,0.9508439147661686
SGDClassifier,word2vec,0.9221090473337328,0.8872180451127819,0.8541994521186688,0.8872180451127819,0.8570819761955496
RandomForestClassifier,word2vec,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,word2vec,0.7423606950269622,0.7593984962406015,0.833773758002433,0.7593984962406015,0.7900894743000006
DecisionTreeClassifier,word2vec,1.0,0.9548872180451128,0.9563712968318231,0.9548872180451128,0.9555188589180569
Logistic_Regression,word2vec,0.914319952067106,0.8909774436090225,0.8631060409644802,0.8909774436090225,0.8547828323323399
SVC,word2vec,0.9119233073696824,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,word2vec,0.8795686039544638,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
GaussianNB,glove,0.6393049730377471,0.6691729323308271,0.846915656285692,0.6691729323308271,0.7286004384775981
GradientBoostingClassifier,glove,0.9934092270820851,0.943609022556391,0.9434820218512262,0.943609022556391,0.9365660257245438
SGDClassifier,glove,0.9418813660874775,0.9135338345864662,0.91152004524931,0.9135338345864662,0.8920960538340703
RandomForestClassifier,glove,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549492
BernoulliNB,glove,0.7555422408627921,0.7631578947368421,0.8438561417538248,0.7631578947368421,0.795174750061968
DecisionTreeClassifier,glove,1.0,0.9548872180451128,0.9530749951802583,0.9548872180451128,0.9534655967650218
Logistic_Regression,glove,0.9197124026363092,0.8984962406015038,0.9089167786386118,0.8984962406015038,0.8597180690841697
