model,data,accuracy_is,accuracy_oos,precision_oos,recall_oos,f1_oos
GaussianNB,gpt,0.695078031212485,0.7293233082706767,0.8517411950929957,0.7293233082706767,0.7734410434803458
GradientBoostingClassifier,gpt,0.9201680672268907,0.8984962406015038,0.9089167786386118,0.8984962406015038,0.8597180690841697
SGDClassifier,gpt,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,gpt,1.0,0.9624060150375939,0.9639342258084234,0.9624060150375939,0.9590365956384738
BernoulliNB,gpt,0.7070828331332533,0.7368421052631579,0.8578947368421054,0.7368421052631579,0.779734347828114
DecisionTreeClassifier,gpt,0.9633853541416567,0.9172932330827067,0.9095727395986238,0.9172932330827067,0.911620397146713
Logistic_Regression,gpt,0.9993997599039616,0.9548872180451128,0.952906543217548,0.9548872180451128,0.9526640869957319
SVC,gpt,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,gpt,0.0894357743097239,0.11278195488721804,0.012719769348182485,0.11278195488721804,0.022861207071733388
GaussianNB,fasttext,0.6842737094837935,0.7819548872180451,0.8569968610847508,0.7819548872180451,0.810896018326359
GradientBoostingClassifier,fasttext,0.9771908763505402,0.9511278195488722,0.9509603969437765,0.9511278195488722,0.9461986821534758
SGDClassifier,fasttext,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
RandomForestClassifier,fasttext,0.9993997599039616,0.9624060150375939,0.9639342258084234,0.9624060150375939,0.9590365956384738
BernoulliNB,fasttext,0.7106842737094838,0.7894736842105263,0.8494979587333112,0.7894736842105263,0.8139097744360902
DecisionTreeClassifier,fasttext,1.0,0.9624060150375939,0.9621482917427697,0.9624060150375939,0.9598274532485059
Logistic_Regression,fasttext,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
SVC,fasttext,0.9105642256902761,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
Perceptron,fasttext,0.8109243697478992,0.7781954887218046,0.8423935754940992,0.7781954887218046,0.8046112121994683
GaussianNB,word2vec,0.7304921968787516,0.793233082706767,0.859445263877397,0.793233082706767,0.8190449001232255
GradientBoostingClassifier,word2vec,0.985594237695078,0.9473684210526315,0.9503157894736842,0.9473684210526315,0.9401173357440838
SGDClassifier,word2vec,0.9159663865546218,0.8834586466165414,0.8269819034277709,0.8834586466165414,0.838935560800343
RandomForestClassifier,word2vec,1.0,0.9586466165413534,0.9584164492864815,0.9586466165413534,0.9553846705549491
BernoulliNB,word2vec,0.6944777911164466,0.7857142857142857,0.8532215706730942,0.7857142857142857,0.8124647146731611
DecisionTreeClassifier,word2vec,1.0,0.943609022556391,0.9406295822543912,0.943609022556391,0.9413413465051995
Logistic_Regression,word2vec,0.9135654261704682,0.8872180451127819,0.8487918268954829,0.8872180451127819,0.8470396402061142
SVC,word2vec,0.9111644657863145,0.8872180451127819,0.7871558595737463,0.8872180451127819,0.8341970464008628
